Название;Количество;Единица измерения;Минимально количество
Паста ПП-17;0,25;кг;0
Паста ПП-17С;0,25;кг;0
Паста ПСП-2;0,25;кг;0
Паста ПТСП-Д-2;0,25;кг;0
Порошок ЧПС-2;0,234;кг;0
Капсель ТК-367 с крышкой (КСП);4;шт;0
Тигель ТК-338 (КВПТ);1;шт;0
Крышка ТК-321 (КВПТ);8;шт;0
Чашка выпарительная № 6 (450мл/500 мл);2;шт;0
Чашка выпарительная № 7 (750 мл/850 мл);6;шт;0
Палочки стеклянные 220 мм * 6;7;шт;0
Чашка Петри ПС 90 мм, ;17;шт;0
Чашка Петри ПС120 мм, ;8;шт;0
Ступка 100 мм с пестиком;5;шт;0
Ступка 160 мм с пестиком;7;шт;0
Ступка агатовая 100 мм с пестом;1;шт;0
Ступка агатовая 150 мм с пестом;1;шт;0
Бюкс низкий (стаканчик для взвешивания с крышкой) СН 50*30 (45/13);8;шт;0
Колба плоскодонная П-1- 250-29/32 на 250 мл со шлифом;5;шт;0
Колба плоскодонная П-1- 100-19/26 на 100 мл со шлифом;4;шт;0
Колба коническая КН-1- 100-29/32 на 100 мл со шлифом;4;шт;0
Чашка Петри 150*30 стекло;9;шт;0
Чашка Петри 100*30 стекло;1;шт;0
Барий углекислый хч BaCO3 (прайм керамикгрупп);1;кг;0
Карбонат бария (BaCO3)  (ОРТ Хим реактив);5;кг;0
Оксид тантала(V) (Ta2O5) (ОРТХим реактив);0,4;кг;0
Оксид никеля(II) (NiO);5;кг;0
Оксид титана(IV) (TiO2);10;кг;0
Нитрид алюминия (AlN);10;кг;0
Парафин;2;кг;0
Уксусная кислота;4;л;0
Воронка делительная тип ВД 100 мл;1;шт;0
Насос водоструйный ГОСТ 25336-82;5;шт;0
Стакан лабораторный высокий 1000 мл, В-1-1000 ТС;16;шт;0
цилиндр 1-25-2 с носиком на стеклянном основании ГОСТ 1770-74, 25 мл;3;шт;0
цилиндр 1-10-2 с носиком на стеклянном основании ГОСТ 1770-74, 10 мл;8;шт;0
воронка лабораторная В-56-80 56 мм;3;шт;0
воронка лабораторная В-75-110 75 мм;2;шт;0
колба мерная 1-50-2 ГОСТ 1770-74 50 мл;1;шт;0
Пробки резиновые ГОСТ 7852-76 29 мм;4;шт;0
Воронка пластиковая большая;1;шт;0
Воронка пластиковая маленькая;3;шт;0
Фильтры обеззоленные белая лента 12.5 мм, 100 шт ;5;шт;0
Фильтры обеззоленные белая лента 5.5 мм, 100 шт ;3;шт;0
Универсальные индикаторные бумаги рН 0-12;1;шт;0
Этиловый спирт;5;л;0
CaOH2 (компонент реактив) чда;2;кг;0
NaOH (компонент реактив) чда;1;кг;0
LiO;1;кг;0
TiO2 (осч);0,9;кг;0
MgO(010);0,035;кг;0
Ta2O5 (ОРТХим реактив);1;кг;0
BaCO3 хч ;0,7;кг;0
ZnO ;0,9;кг;0
NiOч;0,02;кг;0
BaCO3 (016);0,22;кг;0
ZrO2 осч ;0,1;кг;0
La2O5;0,54;кг;0
Al(OH)3;0,85;кг;0
AL2O3;1;кг;0
CaOч;0,65;кг;0
I2O3;0,52;кг;0
ТБК-2;0,09;кг;0
TiO2;0,15;кг;0
SnO2 (1) Китай;0,07;кг;0
ТБК-1;0,01;кг;0
SnO2 (2) Китай;2;кг;0
CaCO3 осч;0,7;кг;0
BaCO3 99.5;0,8;кг;0
Олеиновая кислота;1;л;0
ПВС 5%;1;шт;0
ПВС порошок;1;шт;0
Кислота винная ;1;л;0
Уксусная кислота;1;л;0
Кислота боровая ;1;л;0
Ацетон;0,5;л;0
Растворитель 646;1;л;0
Керосин ;1;л;0
Соляная кислота;1;л;0
SnCl4;1;кг;0
Нитроэмаль;1;кг;0
Трихлорметан;10;л;0
CaOH2 (компонент реактив) чда;2;кг;0
NaOH (компонент реактив) чда;1;кг;0
LiO;1;кг;0
Стеклобут;1;шт;0
Отвердитель чист стек 1.10;1;шт;0
Отвердитель для гипса ;1;шт;0
Парафин П-2 (Спектр Хим);1;кг;0
ПВС (СпектрХим);1;кг;0
CaBr(СпектрХим);1;кг;0
Al2O3 (Спектр Хим);1;кг;0
NaOH (СпектрХим);1;кг;0
Пипетки стеклянные 5мл;20;шт;0
Олеиновая кислота;1;л;0
Бумажные полотенца ;26;шт;10
MgO (база 1 химреактив);3;кг;0
MgO  (имп);4;кг;0
Смола Harz Clear;4;кг;0,5
Смола Harz Flex;7;кг;0,5
Смола Harz PP-like;3;кг;0,5
Смола Harz Model Grey;4;кг;0,5
Смола Harz Rigid;2;кг;0,5
Смола Harz ABS;2;кг;0,5
Смола Harz Jewelry;5;кг;0,5
Смола Harz Nylon-like;4;кг;0,5
Смола Gorky Castable;7;кг;0,5
Смола Gorky Silicone;5;кг;0,5
Смола Gorky Force;1;кг;0,5
Смола Gorky Flex;1;кг;0,5
Смола Gorky Simple;1;кг;0,5
Elegoo ABS серый;6;кг;0,5
Elegoo Water Washable ;6;кг;0,5
Anycubic White;2;кг;0,5
Anycubic Black;2;кг;0,5
Anycubic Green;1;кг;0,5
TPU FDPast Белый;11;шт;1
ABS FDPast Белый;4;шт;1
PETG FDPast Чёрный;8;шт;1
PA6 Прозрачный;4;шт;1
PA66 GF-30 Чёрный;6;шт;1
Xline PPx Чёрный;2;шт;1
ABS ESUN Белый;2;шт;1
ABS Bestfilament Зелёный;2;шт;1
ABS Bestfilament Серый;1;шт;1
ABS REC Красный;1;шт;1
ABS Filamentarno Белый;1;шт;1
CARBON Lider-3D Чёрный;5;шт;1
Nylon U3Prtint Чёрный;8;шт;1
PA6 GF-30 UltraX Чёрный;2;шт;1
EasyFlex REC Чёрный;3;шт;1
Rubber REC Чёрный;3;шт;1
ОУНТ;15;г;1
МУНТ;7;г;1
Графен (ВОГ);9;г;1
Графен (ОГ);2;г;1
Гранулы ТПУ;25000;г;1000
Гранулы АБС;10000;г;1000
Гранулы ПП;2000;г;1000
Гранулы Мастербатч;4000;г;1000
Изопропиловый спирт;43;л;1
ДМФА;5;л;1
Метилметакрилат;0,5;л;0,5
2-гидроксиэтилакрилат;1;л;0,5
2-этилгексилакрилат;1;л;0,5
Хлороформ;1,5;л;0,5
Гексан;0,5;л;0,5
Толуол;0,3;л;0,5
Стирол;1,5;л;0,5
Фотоинициатор ТПО;1;кг;0,1
Фотоинициатор №184;1;кг;0,1
Фотоинициатор №73;1;л;0,1
Оксид Алюминия ;5000;г;500
Диоксид Циркония;5000;г;500
Стеклянный порошок ;1000;г;100
Микросферы стеклянные ;1000;г;100
FEP-плёнка 390Х263;12;шт;1
FEP-плёнка 140Х200;6;шт;1
Клей для стола;14;шт;1
ПЭТ-банка (150 мл);30;шт;2
ПЭТ-банка (50 мл);25;шт;2